,index,Minkowski_score(lower is better),name,address,client_name
0,28895,1.0,hamilton trustees limited,fiman house; st. george's place; st. peter port; guernsey; gy1 2bh; (formerly) fiman house; la hougue du valle; vale; guernsey; gy3 5te (formerly ) 15 the grange; st peter port; guernsey gy1 2ql,blaat
1,28895,1.0,hamilton trustees limited,fiman house; st. george's place; st. peter port; guernsey; gy1 2bh; (formerly) fiman house; la hougue du valle; vale; guernsey; gy3 5te (formerly ) 15 the grange; st peter port; guernsey gy1 2ql,blaat_2
2,28895,1.0,hamilton trustees limited,fiman house; st. george's place; st. peter port; guernsey; gy1 2bh; (formerly) fiman house; la hougue du valle; vale; guernsey; gy3 5te (formerly ) 15 the grange; st peter port; guernsey gy1 2ql,blaat_3
3,1963,0.0,hamilton trustees limited,15 the grange; st. peter port; guernsey gy1 2ql.,hamilton trustees limited
